チーム,選手名
巨人,藤村大介
巨人,寺内崇幸
巨人,篠原慎平
巨人,田原啓吾
巨人,脇谷亮太
巨人,ペレス
巨人,川相拓也
巨人,ギャレット
巨人,田中貴也
巨人,坂本勇人
巨人,芳川庸
巨人,髙橋洸
巨人,長野久義
巨人,片岡治大
巨人,青山誠
巨人,長江翔太
巨人,亀井善行
巨人,阿部慎之助
巨人,髙橋慎之介
巨人,クルーズ
巨人,北之園隆生
巨人,鈴木尚広
巨人,成瀬功亮
巨人,香月良太
巨人,田中太一
巨人,澤村拓一
巨人,増田大輝
巨人,小林大誠
巨人,大竹寛
巨人,杉内俊哉
巨人,田島洸成
巨人,菅野智之
巨人,大竹秀義
巨人,橋本篤郎
巨人,マシソン
巨人,矢島陽平
巨人,桜井俊貴
巨人,ソリマン
巨人,小林誠司
巨人,坂口真規
巨人,相川亮二
巨人,田中大輝
巨人,アダメス
巨人,村田修一
巨人,内海哲也
巨人,實松一成
巨人,ガブリエル
巨人,高木京介
巨人,宮國椋丞
巨人,松本哲也
巨人,橋本到
巨人,アブレイユ
巨人,西村健太朗
巨人,中井大介
巨人,田原誠次
巨人,岡本和真
巨人,マイコラス
巨人,加藤健
巨人,アンダーソン
巨人,重信慎之介
巨人,大田泰示
巨人,今村信貴
巨人,與那原大剛
巨人,山口鉄也
巨人,矢貫俊之
巨人,ポレダ
巨人,戸根千明
巨人,堂上剛裕
巨人,宇佐見真吾
巨人,河野元貴
巨人,高木勇人
巨人,山本泰寛
巨人,公文克彦
巨人,立岡宗一郎
巨人,小山雄輝
巨人,乾真大
巨人,和田恋
巨人,江柄子裕樹
巨人,鬼屋敷正人
巨人,辻東倫
巨人,北篤
巨人,土田瑞起
巨人,吉川大幾
巨人,松崎啄也
巨人,ガルシア
巨人,田口麗斗
巨人,中川皓太
巨人,平良拳太郎
巨人,巽大介
巨人,メンドーサ
巨人,ウーゴ
巨人,長谷川潤
巨人,阿南徹
阪神,大和
阪神,柴田講平
阪神,鳥谷敬
阪神,北條史也
阪神,上本博紀
阪神,ゴメス
阪神,西岡剛
阪神,福留孝介
阪神,髙山俊
阪神,坂本誠志郎
阪神,榎田大樹
阪神,能見篤史
阪神,横山雄哉
阪神,安藤優也
阪神,岩貞祐太
阪神,藤川球児
阪神,藤浪晋太郎
阪神,筒井和也
阪神,岩田稔
阪神,横田慎太郎
阪神,江越大賀
阪神,歳内宏明
阪神,秋山拓巳
阪神,福原忍
阪神,小嶋達也
阪神,石崎剛
阪神,新井良太
阪神,西田直斗
阪神,高宮和也
阪神,坂克彦
阪神,ヘイグ
阪神,森越祐人
阪神,マテオ
阪神,小宮山慎二
阪神,鶴岡一成
阪神,髙橋聡文
阪神,竹安大知
阪神,守屋功輝
阪神,梅野隆太郎
阪神,清水誉
阪神,鶴直人
阪神,山本翔也
阪神,金田和之
阪神,今成亮太
阪神,青柳晃洋
阪神,伊藤隼太
阪神,小豆畑眞也
阪神,メッセンジャー
阪神,陽川尚将
阪神,松田遼馬
阪神,岡﨑太一
阪神,荒木郁也
阪神,岩本輝
阪神,中谷将大
阪神,望月惇志
阪神,植田海
阪神,板山祐太郎
阪神,桑原謙太朗
阪神,緒方凌介
阪神,二神一人
阪神,岩崎優
阪神,俊介
阪神,島本浩也
阪神,サターホワイト
阪神,伊藤和雄
阪神,原口文仁
阪神,ペレス
阪神,田面巧二郎
阪神,ドリス
阪神,狩野恵輔
阪神,トラヴィス
阪神,一二三慎太
中日,エルナンデス
中日,友永翔太
中日,荒木雅博
中日,高橋周平
中日,藤井淳志
中日,阿部寿樹
中日,平田良介
