チーム,選手名
巨人,湯浅大
巨人,増田大輝
巨人,加藤廉
巨人,陽岱鋼
巨人,ダニエル・ミサキ
巨人,山川和大
巨人,中島宏之
巨人,坂本勇人
巨人,デラクルーズ
巨人,丸佳浩
巨人,加藤壮太
巨人,亀井善行
巨人,スモーク
巨人,中田翔
巨人,平内龍太
巨人,笠島尚樹
巨人,平井快青
巨人,デラロサ
巨人,ティマ
巨人,梶谷隆幸
巨人,サンチェス
巨人,奈良木陸
巨人,大竹寛
巨人,木下幹也
巨人,菅野智之
巨人,田中優大
巨人,山崎伊織
巨人,戸郷翔征
巨人,井納翔一
巨人,黒田響生
巨人,小林誠司
巨人,野上亮磨
巨人,前田研輝
巨人,大城卓三
巨人,岡本和真
巨人,岡本大翔
巨人,今村信貴
巨人,喜多隆介
巨人,ハイネマン
巨人,吉川尚輝
巨人,鍵谷陽平
巨人,山﨑友輔
巨人,松原聖弥
巨人,廣岡大志
巨人,堀田賢慎
巨人,太田龍
巨人,桜井俊貴
巨人,石川慎吾
巨人,若林晃弘
巨人,岸田行倫
巨人,立岡宗一郎
巨人,中山礼都
巨人,谷岡竜平
巨人,中川皓太
巨人,メルセデス
巨人,重信慎之介
巨人,テームズ
巨人,畠世周
巨人,鍬原拓也
巨人,與那原大剛
巨人,髙橋優貴
巨人,ウィーラー
巨人,ビエイラ
巨人,戸根千明
巨人,阿部剣友
巨人,八百板卓丸
巨人,北村拓己
巨人,高梨雄平
巨人,直江大輔
巨人,保科広一
巨人,伊藤優輔
巨人,高木京介
巨人,山本一輝
巨人,田中豊樹
巨人,菊田拡和
巨人,増田陸
巨人,横川凱
巨人,古川侑利
巨人,大江竜聖
巨人,松井義弥
巨人,香月一也
巨人,山瀬慎之助
巨人,秋広優人
巨人,萩原哲
巨人,戸田懐生
巨人,井上温大
巨人,沼田翔平
巨人,平間隼人
巨人,堀岡隼人
巨人,伊藤海斗
巨人,ウレーニャ
巨人,山口俊
巨人,山下航汰
阪神,山本泰寛
阪神,木浪聖也
阪神,梅野隆太郎
阪神,大山悠輔
阪神,熊谷敬宥
阪神,近本光司
阪神,糸井嘉男
阪神,佐藤輝明
阪神,髙山俊
阪神,坂本誠志郎
阪神,岩崎優
阪神,チェン・ウェイン
阪神,西純矢
阪神,西勇輝
阪神,岩貞祐太
阪神,馬場皐輔
阪神,藤浪晋太郎
阪神,中田賢一
阪神,岩田稔
阪神,ロハス・ジュニア
阪神,江越大賀
阪神,北條史也
阪神,伊藤将司
阪神,小野泰己
阪神,髙橋遥人
阪神,佐藤蓮
阪神,マルテ
阪神,井上広大
阪神,糸原健斗
阪神,二保旭
阪神,浜地真澄
阪神,及川雅貴
阪神,小幡竜平
阪神,榮枝裕貴
阪神,尾仲祐哉
阪神,村上頌樹
阪神,エドワーズ
阪神,守屋功輝
阪神,アルカンタラ
阪神,遠藤成
阪神,秋山拓巳
阪神,川原陸
阪神,齋藤友貴哉
阪神,ガンケル
阪神,青柳晃洋
阪神,中野拓夢
阪神,サンズ
阪神,島田海吏
阪神,加治屋蓮
阪神,陽川尚将
阪神,小林慶祐
阪神,長坂拳弥
阪神,荒木郁也
阪神,藤田健斗
阪神,望月惇志
阪神,植田海
阪神,板山祐太郎
阪神,桑原謙太朗
阪神,湯浅京己
阪神,小川一平
阪神,髙寺望夢
阪神,俊介
阪神,石井大智
阪神,スアレス
阪神,伊藤和雄
阪神,石井将希
阪神,原口文仁
阪神,片山雄哉
阪神,小野寺暖
阪神,島本浩也
阪神,才木浩人
阪神,岩田将貴
阪神,鈴木翔太
阪神,藤谷洸介
阪神,牧丈一郎
阪神,奥山皓太
中日,石岡諒太
中日,髙松渡
中日,京田陽太
中日,石川昂弥
中日,高橋周平
中日,藤井淳志
中日,阿部寿樹
中日,平田良介
中日,根尾昂
中日,大島洋平
中日,福留孝介
中日,小笠原慎之介
中日,田島慎二
中日,橋本侑樹
中日,谷元圭介
中日,又吉克樹
中日,柳裕也
中日,梅津晃大
中日,髙橋宏斗
中日,岡田俊哉
中日,大野雄大
中日,遠藤一星
中日,福谷浩司
中日,佐藤優
中日,井領雅貴
中日,大野奨太
中日,森博人
中日,山井大介
中日,三好大倫
中日,渡辺勝
中日,石垣雅海
中日,祖父江大輔
中日,福敬登
中日,木下拓哉
中日,岡野祐一郎
中日,三ツ俣大樹
