チーム,選手名
巨人,吉川大幾
巨人,吉川尚輝
巨人,比嘉賢伸
巨人,陽岱鋼
巨人,山川和大
巨人,笠井駿
巨人,中島宏之
巨人,広畑塁
巨人,坂本勇人
巨人,小山翔平
巨人,丸佳浩
巨人,折下光輝
巨人,亀井善行
巨人,阿部慎之助
巨人,高山竜太朗
巨人,山口俊
巨人,髙井俊
巨人,髙橋優貴
巨人,平井快青
巨人,森福允彦
巨人,モタ
巨人,澤村拓一
巨人,巽大介
巨人,沼田翔平
巨人,山上信吾
巨人,大竹寛
巨人,田島洸成
巨人,菅野智之
巨人,上原浩治
巨人,田中優大
巨人,マシソン
巨人,橋本篤郎
巨人,黒田響生
巨人,岩隈久志
巨人,小林誠司
巨人,荒井颯太
巨人,與那原大剛
巨人,野上亮磨
巨人,山下亜文
巨人,クック
巨人,岡本和真
巨人,ラモス
巨人,炭谷銀仁朗
巨人,田口麗斗
巨人,鍬原拓也
巨人,宮國椋丞
巨人,畠世周
巨人,鍵谷陽平
巨人,ビヤヌエバ
巨人,桜井俊貴
巨人,石川慎吾
巨人,田原誠次
巨人,岸田行倫
巨人,立岡宗一郎
巨人,谷岡竜平
巨人,中川皓太
巨人,メルセデス
巨人,重信慎之介
巨人,ゲレーロ
巨人,今村信貴
巨人,大城卓三
巨人,藤岡貴裕
巨人,池田駿
巨人,ヤングマン
巨人,戸根千明
巨人,田中俊太
巨人,北村拓己
巨人,髙田萌生
巨人,直江大輔
巨人,山本泰寛
巨人,高木京介
巨人,坂本工宜
巨人,松原聖弥
巨人,若林晃弘
巨人,増田陸
巨人,横川凱
巨人,増田大輝
巨人,大江竜聖
巨人,松井義弥
巨人,村上海斗
巨人,古川侑利
巨人,戸郷翔征
巨人,田中貴也
巨人,アダメス
巨人,湯浅大
巨人,加藤脩平
巨人,堀岡隼人
巨人,マルティネス
巨人,デラロサ
巨人,山下航汰
阪神,上本博紀
阪神,木浪聖也
阪神,鳥谷敬
阪神,北條史也
阪神,大山悠輔
阪神,熊谷敬宥
阪神,近本光司
阪神,糸井嘉男
阪神,福留孝介
阪神,髙山俊
阪神,坂本誠志郎
阪神,岡本洋介
阪神,能見篤史
阪神,西勇輝
阪神,岩貞祐太
阪神,馬場皐輔
阪神,藤浪晋太郎
阪神,岩田稔
阪神,藤川球児
阪神,江越大賀
阪神,呂彦青
阪神,尾仲祐哉
阪神,小野泰己
阪神,髙橋遥人
阪神,高野圭佑
阪神,マルテ
阪神,山崎憲晴
阪神,糸原健斗
阪神,谷川昌希
阪神,才木浩人
阪神,浜地真澄
阪神,森越祐人
阪神,小幡竜平
阪神,長坂拳弥
阪神,福永春吾
阪神,髙橋聡文
阪神,ソラーテ
阪神,守屋功輝
阪神,梅野隆太郎
阪神,秋山拓巳
阪神,川原陸
阪神,齋藤友貴哉
阪神,青柳晃洋
阪神,伊藤隼太
阪神,ジョンソン
阪神,島田海吏
阪神,メッセンジャー
阪神,陽川尚将
阪神,飯田優也
阪神,岡﨑太一
阪神,荒木郁也
阪神,小宮山慎二
阪神,中谷将大
阪神,望月惇志
阪神,植田海
阪神,板山祐太郎
阪神,桑原謙太朗
阪神,湯浅京己
阪神,牧丈一郎
阪神,岩崎優
阪神,俊介
阪神,島本浩也
阪神,ガルシア
阪神,伊藤和雄
阪神,原口文仁
阪神,片山雄哉
阪神,歳内宏明
阪神,ドリス
阪神,ナバーロ
阪神,横山雄哉
阪神,石井将希
阪神,横田慎太郎
阪神,藤谷洸介
中日,髙松渡
中日,京田陽太
中日,高橋周平
中日,藤井淳志
中日,阿部寿樹
中日,平田良介
中日,根尾昂
中日,大島洋平
中日,石川駿
中日,小笠原慎之介
中日,田島慎二
中日,谷元圭介
中日,又吉克樹
中日,柳裕也
中日,松坂大輔
中日,吉見一起
中日,岡田俊哉
中日,大野雄大
中日,遠藤一星
中日,福谷浩司
中日,佐藤優
中日,井領雅貴
中日,大野奨太
中日,梅津晃大
中日,山井大介
中日,阿知羅拓馬
中日,渡辺勝
中日,石垣雅海
中日,祖父江大輔
中日,福敬登
中日,木下拓哉
中日,石岡諒太
中日,三ツ俣大樹
中日,松葉貴大
中日,武山真吾
中日,石川翔
中日,勝野昌慶
中日,アルモンテ
中日,三ツ間卓也
中日,杉山翔大
中日,鈴木博志
中日,笠原祥太郎
中日,溝脇隼人
中日,伊藤康祐
中日,清水達也
中日,滝野要
中日,加藤匠馬
中日,亀澤恭平
中日,藤嶋健人
中日,福田永将
中日,武田健吾
中日,ロドリゲス
中日,石橋康太
中日,山本拓実
中日,垣越建伸
中日,友永翔太
中日,堂上直倫
中日,小熊凌祐
中日,伊藤準規
中日,ビシエド
中日,近藤弘基
中日,桂依央利
中日,丸山泰資
中日,ロメロ
中日,Ｒ．マルティネス
中日,木下雄介
中日,鈴木翔太
中日,ブリトー
中日,浜田智博
中日,濱田達郎
中日,大藏彰人
中日,石田健人マルク
中日,Ａ．マルティネス
DeNA,宮本秀明
DeNA,中井大介
DeNA,桑原将志
DeNA,ロペス
DeNA,梶谷隆幸
DeNA,伊藤裕季也
DeNA,倉本寿彦
DeNA,石川雄洋
DeNA,神里和毅
DeNA,大和
DeNA,戸柱恭孝
DeNA,東克樹
DeNA,阪口皓亮
DeNA,石田健大
DeNA,井納翔一
DeNA,大貫晋一
DeNA,三嶋一輝
DeNA,山﨑康晃
DeNA,今永昇太
DeNA,大河
DeNA,齋藤俊介
DeNA,筒香嘉智
DeNA,濵口遥大
DeNA,上茶谷大河
DeNA,勝又温史
DeNA,伊藤光
DeNA,飯塚悟史
DeNA,柴田竜拓
DeNA,益子京右
DeNA,乙坂智
DeNA,平田真吾
DeNA,三上朋也
DeNA,狩野行寿
DeNA,楠本泰史
DeNA,山下幸輝
DeNA,嶺井博希
DeNA,飛雄馬
DeNA,櫻井周斗
DeNA,バリオス
DeNA,進藤拓也
DeNA,佐野恵太
DeNA,綾部翔
DeNA,田中健二朗
DeNA,砂田毅樹
DeNA,京山将弥
DeNA,赤間謙
DeNA,山本祐大
DeNA,宮﨑敏郎
DeNA,細川成也
DeNA,パットン
DeNA,寺田光輝
DeNA,濱矢廣大
DeNA,青柳昴樹
DeNA,武藤祐太
DeNA,平良拳太郎
DeNA,知野直人
DeNA,中川大志
DeNA,エスコバー
DeNA,関根大気
DeNA,百瀬大騎
DeNA,国吉佑樹
DeNA,西森将司
DeNA,古村徹
DeNA,藤岡好明
DeNA,中後悠平
DeNA,田村丈
DeNA,中川虎大
DeNA,笠井崇正
DeNA,ソリス
DeNA,ソト
DeNA,宮城滝太
DeNA,水野滉也
DeNA,コルデロ
広島,曽根海成
広島,上本崇司
広島,鈴木誠也
広島,田中広輔
広島,小窪哲也
広島,長野久義
広島,安部友裕
広島,堂林翔太
広島,岩本貴裕
広島,九里亜蓮
広島,矢崎拓也
広島,大瀬良大地
広島,今村猛
広島,岡田明丈
広島,野村祐輔
広島,永川勝浩
広島,中﨑翔太
広島,中村奨成
広島,薮田和樹
広島,横山弘樹
広島,中田廉
広島,會澤翼
広島,床田寛樹
広島,ケムナ誠
広島,一岡竜司
広島,石原慶幸
広島,白濱裕太
広島,菊池涼介
広島,高橋昂也
広島,三好匠
広島,塹江敦哉
広島,野間峻祥
広島,赤松真人
広島,飯田哲矢
広島,磯村嘉孝
広島,藤井皓哉
広島,ジョンソン
広島,島内颯太郎
広島,林晃汰
広島,桒原樹
広島,高橋樹也
広島,山口翔
広島,アドゥワ誠
広島,正隨優弥
広島,髙橋大樹
広島,小園海斗
広島,庄司隼人
広島,戸田隆矢
広島,船越涼太
広島,松山竜平
広島,中神拓都
広島,田中法彦
広島,レグナルト
広島,菊池保則
広島,永井敦士
広島,坂倉将吾
広島,ヘルウェグ
広島,西川龍馬
広島,中村恭平
広島,長井良太
広島,遠藤淳志
広島,中村祐太
広島,平岡敬人
広島,羽月隆太郎
広島,ローレンス
広島,バティスタ
広島,メヒア
広島,フランスア
広島,モンティージャ
広島,サンタナ
広島,岡林飛翔
広島,藤井黎來
広島,佐々木健
広島,木村聡司
広島,大盛穂
広島,メナ
ヤクルト,藤井亮太
ヤクルト,奥村展征
ヤクルト,山田哲人
ヤクルト,大引啓次
ヤクルト,西浦直亨
ヤクルト,バレンティン
ヤクルト,川端慎吾
ヤクルト,中山翔太
ヤクルト,塩見泰隆
ヤクルト,荒木貴裕
ヤクルト,石山泰稚
ヤクルト,中尾輝
ヤクルト,高梨裕稔
ヤクルト,大下佑馬
ヤクルト,原樹理
ヤクルト,清水昇
ヤクルト,寺島成輝
ヤクルト,石川雅規
ヤクルト,近藤一樹
ヤクルト,蔵本治孝
ヤクルト,青木宣親
ヤクルト,星知弥
ヤクルト,館山昌平
ヤクルト,坂本光士郎
ヤクルト,ブキャナン
ヤクルト,小川泰弘
ヤクルト,西田明央
ヤクルト,山崎晃大朗
ヤクルト,松本直樹
ヤクルト,畠山和洋
ヤクルト,山田大樹
ヤクルト,寺原隼人
ヤクルト,廣岡大志
ヤクルト,マクガフ
ヤクルト,梅野雄吾
ヤクルト,宮本丈
ヤクルト,市川悠太
ヤクルト,雄平
ヤクルト,坂口智隆
ヤクルト,村中恭兵
ヤクルト,岩橋慶侍
ヤクルト,ハフ
ヤクルト,太田賢吾
ヤクルト,高橋奎二
ヤクルト,金久保優斗
ヤクルト,渡邉大樹
ヤクルト,上田剛史
ヤクルト,濱田太貴
ヤクルト,中村悠平
ヤクルト,五十嵐亮太
ヤクルト,中澤雅人
ヤクルト,村上宗隆
ヤクルト,鈴木裕太
ヤクルト,古賀優大
ヤクルト,屋宜照悟
ヤクルト,大村孟
ヤクルト,三輪正義
ヤクルト,久保拓眞
ヤクルト,田川賢吾
ヤクルト,井野卓
ヤクルト,風張蓮
ヤクルト,田代将太郎
ヤクルト,吉田大成
ヤクルト,平井諒
ヤクルト,山中浩史
ヤクルト,山川晃司
ヤクルト,スアレス
ヤクルト,沼田拓巳
ヤクルト,松本友
ヤクルト,内山太嗣
ヤクルト,ジュリアス
オリックス,山﨑福也
オリックス,西浦颯大
オリックス,モヤ
オリックス,白崎浩之
オリックス,安達了一
オリックス,福田周平
オリックス,西野真弘
オリックス,宗佑磨
オリックス,後藤駿太
オリックス,ロメロ
オリックス,大城滉二
オリックス,マレーロ
オリックス,山岡泰輔
オリックス,吉田一将
オリックス,荒西祐大
オリックス,増井浩俊
オリックス,岸田護
オリックス,近藤大亮
オリックス,竹安大知
オリックス,髙城俊人
オリックス,伏見寅威
オリックス,宮﨑祐樹
オリックス,西村凌
オリックス,東明大貴
オリックス,アルバース
オリックス,富山凌雅
オリックス,田嶋大樹
オリックス,Ｋ－鈴木
オリックス,太田椋
オリックス,ディクソン
オリックス,メネセス
オリックス,松井雅人
オリックス,吉田正尚
オリックス,比嘉幹貴
オリックス,山足達也
オリックス,若月健矢
オリックス,小島脩平
オリックス,小林慶祐
オリックス,鈴木昂平
オリックス,エップラー
オリックス,山本由伸
オリックス,頓宮裕真
オリックス,飯田大祐
オリックス,成瀬善久
オリックス,海田智行
オリックス,齋藤綱記
オリックス,澤田圭佑
オリックス,小田裕也
オリックス,岡﨑大輔
オリックス,宜保翔
オリックス,黒木優太
オリックス,Ｔ－岡田
オリックス,松井佑介
オリックス,山田修義
オリックス,金田和之
オリックス,根本薫
オリックス,左澤優
オリックス,榊原翼
オリックス,山崎勝己
オリックス,山﨑颯一郎
オリックス,廣澤伸哉
オリックス,青山大紀
オリックス,吉田凌
オリックス,中川圭太
オリックス,鈴木優
オリックス,岩本輝
オリックス,佐野皓大
オリックス,神戸文也
オリックス,本田仁海
オリックス,張奕
オリックス,杉本裕太郎
オリックス,稲富宏樹
オリックス,塚原頌平
オリックス,漆原大晟
オリックス,東晃平
オリックス,比屋根彰人
オリックス,フェリペ
ロッテ,レイビン
ロッテ,荻野貴司
ロッテ,清田育宏
ロッテ,藤原恭大
ロッテ,角中勝也
ロッテ,藤岡裕大
ロッテ,安田尚憲
ロッテ,鈴木大地
ロッテ,中村奨吾
ロッテ,福浦和也
ロッテ,加藤翔平
ロッテ,佐々木千隼
ロッテ,石川歩
ロッテ,平沢大河
ロッテ,大谷智久
ロッテ,関谷亮太
ロッテ,涌井秀章
ロッテ,唐川侑己
ロッテ,東條大樹
ロッテ,内竜也
ロッテ,田村龍弘
ロッテ,酒居知史
ロッテ,東妻勇輔
ロッテ,岡大海
ロッテ,山本大貴
ロッテ,松永昂大
ロッテ,西野勇士
ロッテ,大嶺祐太
ロッテ,菅野剛士
ロッテ,髙濱卓也
ロッテ,南昌輝
ロッテ,土肥星也
ロッテ,渡邉啓太
ロッテ,有吉優樹
ロッテ,三木亮
ロッテ,伊志嶺翔大
ロッテ,吉田裕太
ロッテ,島孝明
ロッテ,成田翔
ロッテ,バルガス
ロッテ,小島和哉
ロッテ,井上晴哉
ロッテ,宗接唯人
ロッテ,岩下大輝
ロッテ,田中靖洋
ロッテ,中村稔弥
ロッテ,チェン・グァンユウ
ロッテ,松田進
ロッテ,山口航輝
ロッテ,益田直也
ロッテ,江村直也
ロッテ,レアード
ロッテ,細川亨
ロッテ,原嵩
ロッテ,香月一也
ロッテ,石崎剛
ロッテ,細谷圭
ロッテ,阿部和成
ロッテ,三家和真
ロッテ,永野将司
ロッテ,種市篤暉
ロッテ,二木康太
ロッテ,古谷拓郎
ロッテ,李杜軒
ロッテ,大木貴将
ロッテ,土居豪人
ロッテ,マーティン
ロッテ,ブランドン
ロッテ,ボルシンガー
ロッテ,柿沼友哉
ロッテ,鎌田光津希
ロッテ,和田康士朗
ロッテ,森遼大朗
ロッテ,茶谷健太
ソフトバンク,川瀬晃
ソフトバンク,髙田知季
ソフトバンク,内川聖一
ソフトバンク,スチュワート・ジュニア
ソフトバンク,川島慶三
ソフトバンク,松田宣浩
ソフトバンク,今宮健太
ソフトバンク,中村晃
ソフトバンク,明石健志
ソフトバンク,柳田悠岐
ソフトバンク,大竹耕太郎
ソフトバンク,中田賢一
ソフトバンク,髙谷裕亮
ソフトバンク,二保旭
ソフトバンク,加治屋蓮
ソフトバンク,東浜巨
ソフトバンク,岩嵜翔
ソフトバンク,武田翔太
ソフトバンク,ミランダ
ソフトバンク,甲斐野央
ソフトバンク,和田毅
ソフトバンク,西田哲朗
ソフトバンク,周東佑京
ソフトバンク,長谷川勇也
ソフトバンク,田中正義
ソフトバンク,吉住晴斗
ソフトバンク,グラシアル
ソフトバンク,高橋礼
ソフトバンク,石川柊太
ソフトバンク,市川友也
ソフトバンク,栗原陵矢
ソフトバンク,塚田正義
ソフトバンク,増田珠
ソフトバンク,椎野新
ソフトバンク,モイネロ
ソフトバンク,牧原大成
ソフトバンク,福田秀平
ソフトバンク,森唯斗
ソフトバンク,堀内汰門
ソフトバンク,杉山一樹
ソフトバンク,千賀滉大
ソフトバンク,松田遼馬
ソフトバンク,江川智晃
ソフトバンク,バンデンハーク
ソフトバンク,谷川原健太
ソフトバンク,コラス
ソフトバンク,髙橋純平
ソフトバンク,岡本健
ソフトバンク,古谷優人
ソフトバンク,板東湧梧
ソフトバンク,上林誠知
ソフトバンク,泉圭輔
ソフトバンク,デスパイネ
ソフトバンク,野村大樹
ソフトバンク,田浦文丸
ソフトバンク,嘉弥真新也
ソフトバンク,サファテ
ソフトバンク,水谷瞬
ソフトバンク,釜元豪
ソフトバンク,奥村政稔
ソフトバンク,甲斐拓也
ソフトバンク,川原弘之
ソフトバンク,真砂勇介
ソフトバンク,九鬼隆平
ソフトバンク,松本裕樹
ソフトバンク,笠谷俊介
ソフトバンク,三森大貴
ソフトバンク,美間優槻
ソフトバンク,スアレス
ソフトバンク,尾形崇斗
ソフトバンク,小澤怜史
ソフトバンク,古澤勝吾
ソフトバンク,大本将吾
ソフトバンク,黒瀬健太
ソフトバンク,砂川リチャード
ソフトバンク,野澤佑斗
ソフトバンク,笠原大芽
ソフトバンク,張本優大
ソフトバンク,渡邉陸
ソフトバンク,岡本直也
ソフトバンク,長谷川宙輝
ソフトバンク,田城飛翔
ソフトバンク,中村晨
ソフトバンク,渡辺健史
ソフトバンク,重田倫明
ソフトバンク,日暮矢麻人
ソフトバンク,渡邉雄大
ソフトバンク,清水陸哉
ソフトバンク,中村宜聖
ソフトバンク,島袋洋奨
楽天,島井寛仁
楽天,松井裕樹
楽天,太田光
楽天,浅村栄斗
楽天,茂木栄五郎
楽天,藤田一也
楽天,辰己涼介
楽天,吉持亮汰
楽天,今江年晶
楽天,オコエ瑠偉
楽天,岸孝之
楽天,近藤弘樹
楽天,岩見雅紀
楽天,則本昂大
楽天,美馬学
楽天,森雄大
楽天,塩見貴洋
楽天,藤平尚真
楽天,安樂智大
楽天,釜田佳直
楽天,戸村健次
楽天,弓削隼人
楽天,田中和基
楽天,渡辺直人
楽天,岡島豪郎
楽天,小野郁
楽天,山下斐紹
楽天,池田隆英
楽天,福井優也
楽天,ブセニッツ
楽天,銀次
楽天,山﨑剛
楽天,島内宏明
楽天,内田靖人
楽天,嶋基宏
楽天,西宮悠介
楽天,引地秀一郎
楽天,ウィーラー
楽天,青山浩二
楽天,ハーマン
楽天,宋家豪
楽天,足立祐一
楽天,菅原秀
楽天,下水流昂
楽天,渡邊佑樹
楽天,渡邊佳明
楽天,橋本到
楽天,耀飛
楽天,小郷裕哉
楽天,森原康平
楽天,高梨雄平
楽天,和田恋
楽天,鈴木翔天
楽天,卓丸
楽天,辛島航
楽天,熊原健人
楽天,佐藤智輝
楽天,西口直人
楽天,由規
楽天,福山博之
楽天,堀内謙伍
楽天,村林一輝
楽天,西巻賢二
楽天,寺岡寛治
楽天,野元浩輝
楽天,ブラッシュ
楽天,石原彪
楽天,久保裕也
楽天,石橋良太
楽天,フェルナンド
楽天,今野龍太
楽天,ヒメネス
楽天,山田大樹
楽天,千葉耕太
楽天,南要輔
楽天,木村敏靖
楽天,井手亮太郎
楽天,松本京志郎
楽天,中村和希
楽天,清宮虎多朗
楽天,則本佳樹
楽天,下妻貴寛
楽天,鶴田圭祐
西武,水口大地
西武,栗山巧
西武,山野辺翔
西武,外崎修汰
西武,源田壮亮
西武,金子侑司
西武,木村文紀
西武,森友哉
西武,今井達也
西武,渡邉勇太朗
西武,髙橋光成
西武,増田達至
西武,大石達也
西武,松本航
西武,多和田真三郎
西武,齊藤大将
西武,高木勇人
西武,十亀剣
西武,中塚駿太
西武,野田昇吾
西武,平井克典
西武,粟津凱士
西武,内海哲也
西武,森脇亮介
西武,小石博孝
西武,榎田大樹
西武,佐藤龍世
西武,永江恭平
西武,山川穂高
西武,佐野泰雄
西武,伊藤翔
西武,岡田雅利
西武,牧野翔矢
西武,呉念庭
西武,田村伊知郎
西武,相内誠
西武,マーティン
西武,小川龍也
西武,本田圭佑
西武,鈴木将平
西武,カスティーヨ
西武,武隈祥太
西武,廖任磊
